date,shift,hour,hourtime,trucks,truck_class,digger,digger_class,pit,material_type,std_material_tonnage,std_material_volume,actual_tonnage_payload,distance_empty_meter,distance_loaded_meter,traveling_time_seconds,waiting_time_seconds,spotting_time_seconds,loading_time_seconds,hauling_time_seconds,queued_time_seconds,backing_time_seconds,tipping_time_seconds,shovel_hang_time_seconds
6/25/2020,Day,7,7:40 AM,RD0001,CAT785,EX001,H3600,Pit-A,Waste,163,64.5,128.8,2750,2724,126,5,12,131,507,0,30,61,15
6/25/2020,Day,7,7:40 AM,RD0002,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,163.9,1347,1350,262,191,11,126,231,2,31,28,59
6/25/2020,Day,7,7:40 AM,RD0003,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,163.8,2778,2778,361,1,3,92,457,4,27,30,0
6/25/2020,Day,7,7:40 AM,RD0004,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,163.7,2365,2365,276,269,0,104,531,0,1,37,0
6/25/2020,Day,7,7:40 AM,RD0005,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,155.4,2954,2835,97,357,0,162,507,4,23,36,0
6/25/2020,Day,7,7:40 AM,RD0006,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,158.7,2841,2778,429,9,5,88,453,2,29,33,104
6/25/2020,Day,7,7:40 AM,RD0007,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,165,2923,2778,311,46,20,101,448,1,28,30,0
6/25/2020,Day,7,7:40 AM,RD0008,CAT785,EX001,H3600,Pit-A,Waste,163,64.5,132.8,2540,2724,458,119,16,84,569,0,25,30,34
6/25/2020,Day,7,7:40 AM,RD0009,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,169.1,2365,2365,555,9,1,100,498,3,42,36,0
6/25/2020,Day,7,7:40 AM,RD0010,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,170.2,2365,2365,502,217,15,104,484,1,35,32,0
6/25/2020,Day,7,7:40 AM,RD0011,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,170.9,2365,2499,419,1,3,100,522,0,34,33,9
6/25/2020,Day,8,8:40 AM,RD0006,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,148.3,2778,3069,289,115,21,88,481,1,27,32,0
6/25/2020,Day,7,7:40 AM,RD0012,CAT785,EX001,H3600,Pit-A,Waste,163,64.5,154.9,3254,2724,324,227,20,95,539,0,36,36,0
6/25/2020,Day,7,7:40 AM,RD0007,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,162.7,2778,2778,272,18,0,93,437,3,27,33,35
6/25/2020,Day,7,7:40 AM,RD0013,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,157.4,2841,2778,287,41,3,113,450,1,26,33,0
6/25/2020,Day,8,8:40 AM,RD0003,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,156.9,3594,2835,569,239,17,154,479,0,25,30,0
6/25/2020,Day,7,7:40 AM,RD0014,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,134.7,3380,3069,504,145,14,102,484,1,29,34,0
6/25/2020,Day,8,8:40 AM,RD0015,CAT785,EX006,H2500,Pit-A,Waste,163,64.5,176.4,2231,2254,253,62,12,226,499,3,27,27,0
6/25/2020,Day,7,7:40 AM,RD0006,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,151.7,2778,2778,242,2,11,113,425,0,30,32,56
6/25/2020,Day,7,7:40 AM,RD0016,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,152.6,2835,410,325,342,2,128,544,1,0,34,0
6/25/2020,Day,7,7:40 AM,RD0009,CAT785,EX006,H2500,Pit-A,Waste,163,64.5,176.4,2120,262,217,45,16,275,99,0,1,1,51
6/25/2020,Day,7,7:40 AM,RD0017,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,161.6,2398,2365,463,121,0,114,508,22,0,36,0
6/25/2020,Day,7,7:40 AM,RD0018,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,149.1,2778,2778,333,111,14,97,465,4,22,34,0
6/25/2020,Day,7,7:40 AM,RD0013,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,152.9,2778,1799,279,127,19,87,655,1,28,22,0
6/25/2020,Day,7,7:40 AM,RD0019,CAT785,EX007,H2500,Pit-A,Waste,163,64.5,145.8,2786,2798,501,18,16,185,571,0,24,26,0
6/25/2020,Day,7,7:40 AM,RD0020,CAT785,EX001,H3600,Pit-A,Waste,163,64.5,158.6,2362,2590,403,248,19,143,529,4,75,38,0
6/25/2020,Day,7,7:40 AM,RD0021,CAT785,EX001,H3600,Pit-A,Waste,163,64.5,154.4,1982,2724,549,65,18,130,537,0,28,37,33
6/25/2020,Day,7,7:40 AM,RD0022,CAT785,EX001,H3600,Pit-A,Waste,163,64.5,160.9,4321,2724,449,221,14,128,588,0,26,52,0
6/25/2020,Day,7,7:40 AM,RD0008,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,158.8,2499,2499,255,2,13,102,498,0,30,26,25
6/25/2020,Day,7,7:40 AM,RD0003,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,155.6,2778,2778,273,1,13,104,449,1,25,35,44
6/25/2020,Day,8,8:40 AM,RD0023,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,164,1412,1412,144,95,11,100,267,2,29,26,0
6/25/2020,Day,7,7:40 AM,RD0024,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,143.7,2313,2772,81,462,1,97,497,5,26,26,0
6/25/2020,Day,8,8:40 AM,RD0002,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,161.5,1352,1352,196,3,27,140,184,3,32,28,20
6/25/2020,Day,8,8:40 AM,RD0025,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,138.1,1352,1352,199,4,15,114,200,3,32,39,19
6/25/2020,Day,7,7:40 AM,RD0022,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,157.2,2499,2365,295,93,15,109,479,21,26,39,127
6/25/2020,Day,8,8:40 AM,RD0026,CAT785,EX007,H2500,Pit-A,Waste,163,64.5,155.3,2932,2798,354,33,14,177,545,3,25,27,23
6/25/2020,Day,7,7:40 AM,RD0027,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,161.5,2778,2778,296,3,12,99,473,2,27,34,135
6/25/2020,Day,7,7:40 AM,RD0012,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,145.9,2499,2499,252,22,12,108,479,0,27,32,2
6/25/2020,Day,7,7:40 AM,RD0010,CAT785,EX007,H2500,Pit-A,Waste,163,64.5,141.8,2798,2932,316,117,15,197,590,3,31,29,0
6/25/2020,Day,8,8:40 AM,RD0028,CAT785,EX010,H5500,Pit-C,Waste,163,64.5,151.2,1350,1285,224,0,12,87,180,3,32,27,30
6/25/2020,Day,8,8:40 AM,RD0029,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,159,1412,1412,164,101,15,108,264,2,40,30,0
6/25/2020,Day,8,8:40 AM,RD0021,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,156.5,2373,2362,285,70,15,133,480,3,30,28,0
6/25/2020,Day,8,8:40 AM,RD0004,CAT785,EX006,H2500,Pit-A,Waste,163,64.5,159.7,2254,2254,253,4,26,218,498,2,31,48,40
6/25/2020,Day,8,8:40 AM,RD0018,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,172,2835,2835,277,127,14,129,512,1,30,34,0
6/25/2020,Day,8,8:40 AM,RD0030,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,158.3,2767,2523,372,1,0,100,470,0,1,29,60
6/25/2020,Day,8,8:40 AM,RD0031,CAT789,EX010,H5500,Pit-C,Waste,205,81,198.7,1288,1285,283,15,7,120,183,7,24,33,0
6/25/2020,Day,7,7:40 AM,RD0014,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,141.1,3126,2835,330,6,10,139,468,33,0,28,251
6/25/2020,Day,7,7:40 AM,RD0032,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,141.1,2835,3564,655,80,15,143,552,3,28,35,0
6/25/2020,Day,8,8:40 AM,RD0033,CAT785,EX011,H2500,Pit-B,Waste,163,64.5,162.9,2388,2388,266,38,10,216,520,0,30,35,144
6/25/2020,Day,7,7:40 AM,RD0011,CAT785,EX007,H2500,Pit-A,Waste,163,64.5,151.8,2932,2798,413,1,0,145,536,0,29,35,140
6/25/2020,Day,8,8:40 AM,RD0034,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,162.4,1352,1352,179,47,12,128,183,4,32,26,0
6/25/2020,Day,8,8:40 AM,RD0035,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,164.4,1420,1412,164,3,15,102,253,11,34,38,19
6/25/2020,Day,8,8:40 AM,RD0032,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,156.6,2767,3116,354,6,21,101,519,0,2,29,24
6/25/2020,Day,8,8:40 AM,RD0036,CAT785,EX011,H2500,Pit-B,Waste,163,64.5,142.5,1961,2579,122,4,11,162,553,3,25,24,0
6/25/2020,Day,8,8:40 AM,RD0037,CAT789,EX010,H5500,Pit-C,Waste,205,81,213.3,1350,1285,202,92,16,138,219,3,28,40,0
6/25/2020,Day,8,8:40 AM,RD0020,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,171.6,2365,2362,247,210,14,129,500,2,33,32,0
6/25/2020,Day,8,8:40 AM,RD0038,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,152.2,2772,2772,309,52,10,105,529,1,30,28,0
6/25/2020,Day,8,8:40 AM,RD0008,CAT785,EX012,H3600,Pit-A,Waste,163,64.5,149.6,2815,2789,334,200,9,102,571,5,26,32,0
6/25/2020,Day,8,8:40 AM,RD0039,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,166.5,2365,2496,267,151,10,132,506,0,27,30,0
6/25/2020,Day,8,8:40 AM,RD0034,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,144.5,1352,1352,196,59,11,111,199,4,36,24,0
6/25/2020,Day,8,8:40 AM,RD0007,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,162,2778,2778,288,3,17,97,441,3,25,28,20
6/25/2020,Day,8,8:40 AM,RD0040,CAT777D-WASTE,EX013,H2500,Pit-C,Waste,115,45,115,1635,1334,182,2,0,112,284,0,30,33,90
6/25/2020,Day,8,8:40 AM,RD0041,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,161.7,2835,2835,291,72,19,162,490,4,26,27,0
6/25/2020,Day,8,8:40 AM,RD0017,CAT785,EX007,H2500,Pit-A,Waste,163,64.5,168.7,2798,2932,333,4,11,199,601,5,27,28,138
6/25/2020,Day,8,8:40 AM,RD0006,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,161.1,2778,2926,257,111,14,90,538,1,0,31,0
6/25/2020,Day,8,8:40 AM,RD0009,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,151.2,2373,2345,285,145,8,112,482,0,30,28,0
6/25/2020,Day,8,8:40 AM,RD0042,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,153.4,1412,1412,146,69,19,102,269,5,34,28,0
6/25/2020,Day,8,8:40 AM,RD0014,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,133.9,2778,2523,325,12,23,99,470,0,0,35,32
6/25/2020,Day,8,8:40 AM,RD0043,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,8.1,2351,2345,292,161,18,55,509,1,30,33,0
6/25/2020,Day,8,8:40 AM,RD0044,CAT785,EX014,H3600,Pit-B,Waste,163,64.5,164.6,2325,2096,190,2,0,144,578,2,37,29,0
6/25/2020,Day,8,8:40 AM,RD0025,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,148.8,1352,1352,196,3,15,108,198,4,27,38,26
6/25/2020,Day,8,8:40 AM,RD0045,CAT789,EX010,H5500,Pit-C,Waste,205,81,206.9,1285,1285,186,189,0,95,152,26,29,24,0
6/25/2020,Day,8,8:40 AM,RD0013,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,153.8,2822,2835,302,208,14,127,511,3,25,32,0
6/25/2020,Day,8,8:40 AM,RD0024,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,150.4,2772,2772,344,48,10,72,496,18,24,26,26
6/25/2020,Day,8,8:40 AM,RD0002,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,151.9,1352,1352,199,20,17,108,179,3,31,27,0
6/25/2020,Day,8,8:40 AM,RD0019,CAT785,EX012,H3600,Pit-A,Waste,163,64.5,135.6,2784,2789,356,22,12,98,597,3,26,26,116
6/25/2020,Day,8,8:40 AM,RD0046,CAT789,EX010,H5500,Pit-C,Waste,205,81,201.5,1350,1285,165,47,9,134,207,21,29,22,0
6/25/2020,Day,8,8:40 AM,RD0001,CAT785,EX006,H2500,Pit-A,Waste,163,64.5,159.5,2298,2254,270,5,17,240,475,2,27,36,186
6/25/2020,Day,8,8:40 AM,RD0023,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,162.6,1420,1412,164,116,11,120,275,11,24,29,0
6/25/2020,Day,8,8:40 AM,RD0042,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,157.6,1420,1412,164,135,12,117,279,11,30,28,0
6/25/2020,Day,8,8:40 AM,RD0047,CAT789,EX015,H5500,Pit-C,Waste,205,81,211.9,3670,3687,32,0,4,64,713,4,28,33,105
6/25/2020,Day,8,8:40 AM,RD0033,CAT785,EX011,H2500,Pit-B,Waste,163,64.5,151.8,2388,2388,268,3,11,163,513,0,56,30,111
6/25/2020,Day,8,8:40 AM,RD0034,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,164,1352,1352,187,18,15,134,199,2,38,25,1
6/25/2020,Day,8,8:40 AM,RD0022,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,157,2345,2345,264,21,17,125,488,3,29,35,1
6/25/2020,Day,8,8:40 AM,RD0014,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,146,2767,2523,306,48,17,99,470,0,0,30,237
6/25/2020,Day,8,8:40 AM,RD0005,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,166.6,2822,2835,302,233,12,149,490,0,32,32,0
6/25/2020,Day,8,8:40 AM,RD0048,CAT785,EX014,H3600,Pit-B,Waste,163,64.5,151.1,2096,1901,201,251,44,84,364,371,35,34,0
6/25/2020,Day,8,8:40 AM,RD0011,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,151.1,2822,2835,302,227,18,150,505,3,29,33,0
6/25/2020,Day,8,8:40 AM,RD0049,CAT785,EX014,H3600,Pit-B,Waste,163,64.5,139.7,2484,1995,251,254,26,108,443,5,27,32,0
6/25/2020,Day,8,8:40 AM,RD0025,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,143.9,1352,1352,189,30,19,114,185,2,31,32,0
6/25/2020,Day,8,8:40 AM,RD0046,CAT789,EX010,H5500,Pit-C,Waste,205,81,214.3,1285,1285,197,73,16,108,217,8,26,29,0
6/25/2020,Day,8,8:40 AM,RD0021,CAT785,EX012,H3600,Pit-A,Waste,163,64.5,154.1,2789,2789,335,85,0,107,588,1,26,42,0
6/25/2020,Day,8,8:40 AM,RD0050,CAT785,EX014,H3600,Pit-B,Waste,163,64.5,163,2224,1995,266,188,0,60,438,6,10,28,0
6/25/2020,Day,8,8:40 AM,RD0031,CAT789,EX010,H5500,Pit-C,Waste,205,81,216.3,1285,1285,298,154,16,168,166,2,34,24,0
6/25/2020,Day,8,8:40 AM,RD0051,CAT785,EX012,H3600,Pit-A,Waste,163,64.5,158,2789,2789,372,52,13,98,569,5,30,33,65
6/25/2020,Day,8,8:40 AM,RD0038,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,158.6,2772,2772,302,5,11,104,505,1,25,21,0
6/25/2020,Day,8,8:40 AM,RD0001,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,161,2345,2479,277,201,24,126,540,0,27,33,0
6/25/2020,Day,8,8:40 AM,RD0052,CAT785,EX012,H3600,Pit-A,Waste,163,64.5,153.5,2815,2789,356,39,0,102,585,2,33,34,37
6/25/2020,Day,8,8:40 AM,RD0002,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,163.6,1352,1352,194,61,21,137,178,4,31,29,0
6/25/2020,Day,8,8:40 AM,RD0010,CAT785,EX007,H2500,Pit-A,Waste,163,64.5,140,2932,2798,345,20,19,208,545,3,30,34,308
6/25/2020,Day,8,8:40 AM,RD0053,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,150.1,2772,2772,271,31,16,111,463,5,22,25,0
6/25/2020,Day,8,8:40 AM,RD0015,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,160.7,2373,2345,251,80,17,160,491,2,29,32,0
6/25/2020,Day,8,8:40 AM,RD0025,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,141,1352,1353,200,92,30,107,197,3,29,34,0
6/25/2020,Day,8,8:40 AM,RD0054,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,146.1,2772,2772,309,31,10,74,550,3,25,24,28
6/25/2020,Day,8,8:40 AM,RD0045,CAT789,EX010,H5500,Pit-C,Waste,205,81,196.5,1285,1285,225,152,29,137,167,2,34,20,0
6/25/2020,Day,10,10:40 AM,RD0025,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,146.7,1346,1346,192,30,13,113,200,1,29,34,0
6/25/2020,Day,8,8:40 AM,RD0017,CAT785,EX012,H3600,Pit-A,Waste,163,64.5,153.9,2815,2789,406,5,7,102,582,3,32,33,165
6/25/2020,Day,8,8:40 AM,RD0007,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,158,2778,2778,290,227,27,102,475,1,28,32,0
6/25/2020,Day,8,8:40 AM,RD0055,CAT785,EX016,H2500,Pit-C,Waste,163,64.5,164.6,2877,1303,203,50,16,133,304,2,26,26,0
6/25/2020,Day,8,8:40 AM,RD0009,CAT785,EX012,H3600,Pit-A,Waste,163,64.5,151.2,2789,2789,357,3,15,102,557,0,26,35,23
